Lydraščio Nr.;Administracijos padalinio pavadinimas;Prekių BVPŽ kodas, paslaugų kategorija, darbai;Darbų objektas;Pirkimo grupė;Laimėtojo nustatymo data;Laimėtojas;Laimėtojo pasiūlymo kaina, Eur;Sutarties vertė, Eur;Pirkimo pavadinimas;Pirkimo objekto apibūdinimas;Spe. Reikalavimai;Pirkimo procedūros pradžia
8848;Miesto tvarkymo skyrius;Darbai;Gimnazijos g.;Darbų pirkimas;2014.05.02;UAB „Bermanta“;8622,49;8622,49;Gimnazijos g. nuo namo Nr. 7 iki Šv. Gertrūdos g. šaligatvio remonto darbai;Gimnazijos g. nuo namo Nr. 7 iki Šv. Gertrūdos g. šaligatvio remonto darbai;Ne per CPO;2014.04.23
8849;Miesto tvarkymo skyrius;Darbai;M. Daukšos g.;Darbų pirkimas;2014.05.02;UAB „Bermanta“;8550,7;8550,7;M. Daukšos g. nuo namo Nr. 55 iki Nr. 51 šaligatvio remonto darbai;M. Daukšos g. nuo namo Nr. 55 iki Nr. 51 šaligatvio remonto darbai;Ne per CPO;2014.04.23
8850;Bendrasis skyrius;392;prekės;2014.04.24;Edmundas Unguraitis;2242,82;2242,82;Dirbiniai iš stiklo gydytojų apdovanojimui;Dirbiniai iš stiklo gydytojų apdovanojimui;Ne per CPO;2014.04.23
8868;Kūno kultūros ir sporto skyrius;KAT17.551;paslaugos;2014.05.26;UAB „Doriteksas“;7472,2;7472,2;Apgyvendinimo ir  maitinimo paslaugų pirkimas;Apgyvendinimo ir maitinimo paslaugos;Ne per CPO, 55300000-3;2014.04.24
8889;Tarptautinių ryšių ir protokolo skyrius;KAT13.793;paslaugos;2014.04.25;UAB „Diena Media News;1033,65;1033,6;Reklamos paslaugos. Specialiame žurnale ''Sveikata'';Reklamos paslaugos. Specialiame žurnale ''Sveikata'';ne per CPO;2014.04.24
8893;Aleksoto seniūnija;392;prekės;2014.06.27;UAB ''Office system'';75,17;75,17;Nuotraukų rėmai;Nuotraukų rėmai.;Per CPO;2014.04.24
8894;Aleksoto seniūnija;158;prekės;2014.06.06;UAB Sanitex;231,2;231,2;Įvairūs maisto produktai;Įvairūs maisto produktai.;Ne per CPO;2014.04.24
8928;Miesto tvarkymo skyrius;224;prekės;Programos LEADER ir žemdirbių mokymo metodikos centras;141,23;141,23;Traktorių, savaeigių ir žemės ūkio mašinų ir jų priekabų registracijos liudijimai ir techninės apžiūros talonai;Traktorių, savaeigių ir žemės ūkio mašinų ir jų priekabų registracijos liudijimai ir techninės apžiūros talonai;Ne per CPO;2014.04.29
8951;Bendrasis skyrius;337;prekės;UAB Vilties vaistinė;427,94;427,94;Prekės naujagimiams;Prekės naujagimiams;Ne per CPO;2014.04.30
8988;Bendrasis skyrius;185;prekės;UAB Lietuvos monetų kalykla;4954,95;4954,95;J. Vileišio medaliai;J. Vileišio medaliai;Ne per CPO;2014.05.06
8989;Bendrasis skyrius;390;prekės;MB ,,Įdoma“;2970;2970;Odiniai biuro baldai;Odiniai biuro baldai;Ne per CPO;2014.05.06
8990;Bendrasis skyrius;349;prekės;2014.05.14;MB ,,Įdoma“;1992,6;1992,6;Metaliniai atitvarai;Metaliniai atitvarai;Ne per CPO;2014.05.06
8991;Bendrasis skyrius;352;prekės;2014.05.30;UAB „Ambinga“;432,44;432,44;Informacinis stendas Laisvės al. 96;Informacinis stendas;Ne per CPO;2014.05.06
8995;Privatizavimo skyrius;KAT27.790;paslaugos;2014.06.04;Auditas ir konsultacijos, UAB;2838,57;2838,57;UAB ''Kauno profilaktinės dezinfekcijos stotis'' akcijų vertinimo paslaugos;UAB ''Kauno profilaktinės dezinfekcijos stotis'' akcijų vertinimo paslaugos;ne per CPO;2014.05.06
9008;Kultūros paveldo skyrius;Darbai;K. Donelaičio g. 64;Darbų pirkimas;2014.07.24;Kauno paminklų rest. proj. Institutas/ UAB ''Kauno projektavimo restauravimo ir statybos institutas'';89999,56;89999,56;Skulptūros „Karys“ (Riteris) atkūrimo projekto parengimas, pagaminimas ir įkėlimas į Vytauto Didžiojo karo muziejaus kariliono ir laikrodžio bokštą;Skulptūros „Karys“ (Riteris) atkūrimo projekto parengimas, pagaminimas ir įkėlimas į Vytauto Didžiojo karo muziejaus kariliono ir laikrodžio bokštą;Ne per CPO 71220000-6;2014.05.07
9010;Bendrasis skyrius;392;prekės;2014.05.14;Edmundas Unguraitis;1200;1200;Dirbiniai iš stiklo su Kauno m. didžiuoju herbu;Dirbiniai iš stiklo su Kauno m. didžiuoju herbu;Ne per CPO;2014.05.07
9030;Viešosios vadybos ir personalo skyrius;KAT24.805;paslaugos;UAB ,,Kvalitetas“;1389,02;1389,02;Kokybės vadybos sistemos (ISO 9001) auditorių mokymo paslaugos;KVS (ISO 9001) auditorių mokumo paslaugos;Ne per CPO;2014.05.08
9050;Gričiupio seniūnija;386;prekės;2014.05.26;UAB ,,Fotofabrikas'';109,77;115,85;Fotoaparato pirkimas;Fotoaparatai.;ne per CPO;2014.05.09
